CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,633600,2056.104231,3.2451140009469692,30.505844208889624,4.4513430765312805,67.39538940093912,145.91771485
1,902400,2929.744722,3.2466142752659573,52.307015964058856,5.356566264077629,56.006027968303,102.406267407
1,1113600,3616.200579,3.2473065544181035,76.27107916102435,6.328021861341586,47.40818008748121,82.967514436
1,1401600,4548.624799,3.245308789240868,118.61646961070771,7.8239698327178,38.34370612543498,65.960231816
1,1536000,4988.028731,3.2474145384114586,146.47687533004998,8.810766003944657,34.04925291009742,60.151242195
1,1747200,5661.552398,3.240357370650183,196.56269789255765,10.416827858197443,28.799554344551954,52.99493734
1,1843200,5967.061819,3.2373382264539927,216.44075177690002,10.883039412872806,27.56582868248648,50.281840751
4,1113600,5823.998758,5.229883942169541,243.99111032494116,12.57072499624962,23.86497199560906,51.521241817
4,1401600,7333.170374,5.231999410673517,340.86518082882503,13.94763992321285,21.509015263629973,40.91834751
4,1747200,9140.489321,5.23150716632326,513.4831784240938,16.857544202453912,17.796186466847868,32.82978861
4,1958400,10243.102977,5.230342614889706,660.0642421814139,19.337585653869766,15.513829149605607,29.296520578
4,2150400,11246.063878,5.229754407552083,807.7655639515384,21.554908686828952,13.917943441964749,26.684609556
4,2208000,11546.010853,5.229171581974637,997.3543293218402,25.922932530715233,11.572764757403116,25.991698004
